Fort Ross 2018,,,,,,,,,,Shells,,Density,,,,,
Site Code,Transect #,Date,Dive #,Names,Side,Depth,Ave Depth,Red Abs Alive,Dying,Dead,Empty,Purple Urchin,Red Abs Alive,Dying,Dead,Empty,Purple Urchins
A1,1,7/12/18,1,LRB,ALL,13,13.5,6,0,0,30,901,0.1,0,0,0.5,15
A1,1,7/12/18,1,Shelby,ALL,14,13.5,,,,,,,,,,
A1,2,7/12/18,1,LRB,ALL,15,14,9,0,0,21,763,0.15,0,0,0.35,12.7
A1,2,7/12/18,1,Shelby,ALL,13,14,,,,,,,,,,
A1,3,7/12/18,1,LRB,ALL,15,13.5,5,0,0,13,307,0.08333333,0,0,0.21666667,5.1
A1,3,7/12/18,1,Shelby,ALL,12,13.5,,,,,,,,,,
A1,4,7/12/18,1,LRB,ALL,16,14,3,0,0,17,457,0.05,0,0,0.28333333,7.6
A1,4,7/12/18,1,Shelby,ALL,12,14,,,,,,,,,,
A5,1,7/12/18,2,LRB,ALL,11,10,11,0,0,11,208,0.18333333,0,0,0.18333333,3.5
A5,1,7/12/18,2,Shelby,ALL,9,10,,,,,,,,,,
A5,2,7/12/18,2,LRB,ALL,9,7.5,3,0,0,9,1388,0.05,0,0,0.15,23.1
A5,2,7/12/18,2,Shelby,ALL,6,7.5,,,,,,,,,,
A5,3,7/12/18,2,LRB,ALL,11,10,6,0,0,18,236,0.1,0,0,0.3,3.9
A5,3,7/12/18,2,Shelby,ALL,9,10,,,,,,,,,,
A5,4,7/12/18,2,LRB,ALL,7,8.5,2,0,0,10,1800,0.03333333,0,0,0.16666667,30
A5,4,7/12/18,2,Shelby,ALL,10,8.5,,,,,,,,,,
D5,1,7/12/18,2,Katie,ALL,48,48,0,0,0,0,32,0,0,0,0,0.5
D5,1,7/12/18,2,Mo,ALL,48,48,,,,,,,,,,
D5,2,7/12/18,2,Katie,ALL,48,48,1,0,0,0,9,0.01666667,0,0,0,0.2
D5,2,7/12/18,2,Mo,ALL,48,48,,,,,,,,,,
C5,1,7/12/18,1,Jenny,Split,35,33,2,0,0,18,900,0.03333333,0,0,0.3,15
C5,1,7/12/18,1,Tallulah,Split,31,33,,,,,,,,,,
C5,2,7/12/18,1,Jenny,Split,35,33,5,,,,,0.08333333,,,,
C5,2,7/12/18,1,Tallulah,Split,31,33,,,,,,,,,,
CA4,1,7/12/18,2,Jenny,Split,34,32,4,0,0,38,151,0.06666667,0,0,0.63333333,2.5
CA4,1,7/12/18,2,Tallulah,Split,30,32,,,,,,,,,,
CA4,2,7/12/18,2,Jenny,Split,31,30.5,2,0,0,46,300,0.03333333,0,0,0.76666667,5
CA4,2,7/12/18,2,Tallulah,Split,30,30.5,,,,,,,,,,
B3,1,7/12/18,1,Katie,Split,28,28,1,0,0,10,640,0.01666667,0,0,0.16666667,10.7
B3,1,7/12/18,1,Mo,Split,28,28,,,,,,,,,,
B3,2,7/12/18,1,Katie,Split,28,28,0,0,0,32,900,0,0,0,0.53333333,15
B3,2,7/12/18,1,Mo,Split,28,28,,,,,,,,,,
B3,3,7/12/18,1,Katie,Split,16,16,0,0,0,13,1275,0,0,0,0.21666667,21.3
B3,3,7/12/18,1,Mo,Split,16,16,,,,,,,,,,
B3,4,7/12/18,1,Katie,Split,16,16,3,0,0,6,1600,0.05,0,0,0.1,26.7
B3,4,7/12/18,1,Mo,Split,16,16,,,,,,,,,,
DA2,1,7/12/18,1,Kristine,Split,54,51.5,0,0,0,0,21,0,0,0,0,0.4
DA2,1,7/12/18,1,Jerry,Split,49,51.5,,,,,,,,,,
DA2,2,7/12/18,1,Kristine,Split,53,52.5,1,0,0,0,,0.01666667,0,0,0,
DA2,2,7/12/18,1,Jerry,Split,52,52.5,,,,,,,,,,
BA3,1,7/12/18,2,Kristine,Split,28,22.5,3,0,0,0,1371,0.05,0,0,0,22.9
BA3,1,7/12/18,2,Jerry,Split,17,22.5,,,,,,,,,,
DA5,1,7/13/18,1,Katie,Split,48,49.5,0,0,0,0,105,0,0,0,0,1.8
DA5,1,7/13/18,1,Mohammed,Split,51,49.5,,,,,,,,,,
DA5,2,7/13/18,1,Katie,Split,49,53.5,1,0,0,0,54,0.01666667,0,0,0,0.9
DA5,2,7/13/18,1,Mohammed,Split,58,53.5,,,,,,,,,,
DA5,3,7/13/18,1,Katie,Split,47,50,0,0,0,0,117,0,0,0,0,2
DA5,3,7/13/18,1,Mohammed,Split,53,50,,,,,,,,,,
B7,1,7/13/18,1,Jerry / Jenny,Split,17,19,5,0,0,17,860,0.08333333,0,0,0.28333333,14.3
B7,1,7/13/18,1,Kristine,Split,21,19,,,,,,,,,,
B7,2,7/13/18,1,Jerry / Jenny,Split,13,15,31,0,0,27,690,0.51666667,0,0,0.45,11.5
B7,2,7/13/18,1,Kristine,Split,17,15,,,,,,,,,,
B10,1,7/13/18,1,Shelby,ALL,14,17.5,19,0,0,32,137,0.31666667,0,0,0.53333333,2.3
B10,1,7/13/18,1,LRB,ALL,21,17.5,,,,,,,,,,
B10,2,7/13/18,1,Shelby,ALL,21,23,14,0,0,13,139,0.23333333,0,0,0.21666667,2.3
B10,2,7/13/18,1,LRB,ALL,25,23,,,,,,,,,,
B10,3,7/13/18,1,Shelby,ALL,17,20,14,0,0,4,67,0.23333333,0,0,0.06666667,1.1
B10,3,7/13/18,1,LRB,ALL,23,20,,,,,,,,,,
B10,4,7/13/18,1,Shelby,ALL,20,23,9,0,0,12,44,0.15,0,0,0.2,0.7
B10,4,7/13/18,1,LRB,ALL,26,23,,,,,,,,,,
,,,,,,,,,,,,,0.51666667,,,,